"Year","Region","County Name","Gender Name","Enrollment by Gender"
"2016-2017",07,"ANDERSON COUNTY","Female",4104
"2016-2017",07,"ANDERSON COUNTY","Male",4435
"2016-2017",18,"ANDREWS COUNTY","Female",1910
"2016-2017",18,"ANDREWS COUNTY","Male",2056
"2016-2017",07,"ANGELINA COUNTY","Female",8662
"2016-2017",07,"ANGELINA COUNTY","Male",8992
"2016-2017",02,"ARANSAS COUNTY","Female",1638
"2016-2017",02,"ARANSAS COUNTY","Male",1756
"2016-2017",09,"ARCHER COUNTY","Female",901
"2016-2017",09,"ARCHER COUNTY","Male",977
"2016-2017",16,"ARMSTRONG COUNTY","Female",170
"2016-2017",16,"ARMSTRONG COUNTY","Male",165
"2016-2017",20,"ATASCOSA COUNTY","Female",4314
"2016-2017",20,"ATASCOSA COUNTY","Male",4614
"2016-2017",06,"AUSTIN COUNTY","Female",2846
"2016-2017",06,"AUSTIN COUNTY","Male",3039
"2016-2017",17,"BAILEY COUNTY","Female",711
"2016-2017",17,"BAILEY COUNTY","Male",742
"2016-2017",20,"BANDERA COUNTY","Female",1254
"2016-2017",20,"BANDERA COUNTY","Male",1295
"2016-2017",13,"BASTROP COUNTY","Female",8182
"2016-2017",13,"BASTROP COUNTY","Male",8778
"2016-2017",09,"BAYLOR COUNTY","Female",278
"2016-2017",09,"BAYLOR COUNTY","Male",317
"2016-2017",02,"BEE COUNTY","Female",2680
"2016-2017",02,"BEE COUNTY","Male",2698
"2016-2017",12,"BELL COUNTY/12","Female",35241
"2016-2017",12,"BELL COUNTY/12","Male",36918
"2016-2017",13,"BELL COUNTY/13","Female",169
"2016-2017",13,"BELL COUNTY/13","Male",205
"2016-2017",20,"BELL COUNTY/20","Female",1118
"2016-2017",20,"BELL COUNTY/20","Male",1101
"2016-2017","AL","BELL COUNTY/ALL","Female",36528
"2016-2017","AL","BELL COUNTY/ALL","Male",38224
"2016-2017",20,"BEXAR COUNTY","Female",172804
"2016-2017",20,"BEXAR COUNTY","Male",181861
"2016-2017",13,"BLANCO COUNTY","Female",802
"2016-2017",13,"BLANCO COUNTY","Male",915
"2016-2017",17,"BORDEN COUNTY","Female",122
"2016-2017",17,"BORDEN COUNTY","Male",132
"2016-2017",12,"BOSQUE COUNTY","Female",1396
"2016-2017",12,"BOSQUE COUNTY","Male",1513
"2016-2017",08,"BOWIE COUNTY","Female",8734
"2016-2017",08,"BOWIE COUNTY","Male",9132
"2016-2017",04,"BRAZORIA COUNTY","Female",34090
"2016-2017",04,"BRAZORIA COUNTY","Male",36519
"2016-2017",06,"BRAZOS COUNTY","Female",14797
"2016-2017",06,"BRAZOS COUNTY","Male",15506
"2016-2017",18,"BREWSTER COUNTY","Female",630
"2016-2017",18,"BREWSTER COUNTY","Male",695
"2016-2017",16,"BRISCOE COUNTY","Female",88
"2016-2017",16,"BRISCOE COUNTY","Male",112
"2016-2017",02,"BROOKS COUNTY","Female",767
"2016-2017",02,"BROOKS COUNTY","Male",810
"2016-2017",15,"BROWN COUNTY","Female",3258
"2016-2017",15,"BROWN COUNTY","Male",3423
"2016-2017",06,"BURLESON COUNTY","Female",1298
"2016-2017",06,"BURLESON COUNTY","Male",1390
"2016-2017",13,"BURNET COUNTY","Female",3532
"2016-2017",13,"BURNET COUNTY","Male",3859
"2016-2017",13,"CALDWELL COUNTY","Female",3601
"2016-2017",13,"CALDWELL COUNTY","Male",3724
"2016-2017",03,"CALHOUN COUNTY","Female",1943
"2016-2017",03,"CALHOUN COUNTY","Male",2070
"2016-2017",14,"CALLAHAN COUNTY","Female",1227
"2016-2017",14,"CALLAHAN COUNTY","Male",1304
"2016-2017",01,"CAMERON COUNTY","Female",49065
"2016-2017",01,"CAMERON COUNTY","Male",51666
"2016-2017",08,"CAMP COUNTY","Female",1168
"2016-2017",08,"CAMP COUNTY","Male",1253
"2016-2017",16,"CARSON COUNTY","Female",587
"2016-2017",16,"CARSON COUNTY","Male",632
"2016-2017",08,"CASS COUNTY","Female",2679
"2016-2017",08,"CASS COUNTY","Male",2800
"2016-2017",16,"CASTRO COUNTY","Female",870
"2016-2017",16,"CASTRO COUNTY","Male",842
"2016-2017",04,"CHAMBERS COUNTY/04","Female",3162
"2016-2017",04,"CHAMBERS COUNTY/04","Male",3418
"2016-2017",05,"CHAMBERS COUNTY/05","Female",697
"2016-2017",05,"CHAMBERS COUNTY/05","Male",778
"2016-2017","AL","CHAMBERS COUNTY/ALL","Female",3859
"2016-2017","AL","CHAMBERS COUNTY/ALL","Male",4196
"2016-2017",07,"CHEROKEE COUNTY","Female",4142
"2016-2017",07,"CHEROKEE COUNTY","Male",4436
"2016-2017",16,"CHILDRESS COUNTY","Female",549
"2016-2017",16,"CHILDRESS COUNTY","Male",586
"2016-2017",09,"CLAY COUNTY","Female",835
"2016-2017",09,"CLAY COUNTY","Male",889
"2016-2017",17,"COCHRAN COUNTY","Female",366
"2016-2017",17,"COCHRAN COUNTY","Male",386
"2016-2017",15,"COKE COUNTY","Female",278
"2016-2017",15,"COKE COUNTY","Male",274
"2016-2017",15,"COLEMAN COUNTY","Female",650
"2016-2017",15,"COLEMAN COUNTY","Male",684
"2016-2017",10,"COLLIN COUNTY","Female",99138
"2016-2017",10,"COLLIN COUNTY","Male",103967
"2016-2017",16,"COLLINGSWORTH COUNTY","Female",293
"2016-2017",16,"COLLINGSWORTH COUNTY","Male",314
"2016-2017",03,"COLORADO COUNTY","Female",1698
"2016-2017",03,"COLORADO COUNTY","Male",1860
"2016-2017",13,"COMAL COUNTY/13","Female",4288
"2016-2017",13,"COMAL COUNTY/13","Male",4919
"2016-2017",20,"COMAL COUNTY/20","Female",10822
"2016-2017",20,"COMAL COUNTY/20","Male",11418
"2016-2017","AL","COMAL COUNTY/ALL","Female",15110
"2016-2017","AL","COMAL COUNTY/ALL","Male",16337
"2016-2017",14,"COMANCHE COUNTY","Female",1150
"2016-2017",14,"COMANCHE COUNTY","Male",1229
"2016-2017",15,"CONCHO COUNTY","Female",237
"2016-2017",15,"CONCHO COUNTY","Male",242
"2016-2017",11,"COOKE COUNTY","Female",3162
"2016-2017",11,"COOKE COUNTY","Male",3348
"2016-2017",12,"CORYELL COUNTY","Female",5664
"2016-2017",12,"CORYELL COUNTY","Male",5935
"2016-2017",17,"COTTLE COUNTY","Female",93
"2016-2017",17,"COTTLE COUNTY","Male",114
"2016-2017",18,"CRANE COUNTY","Female",535
"2016-2017",18,"CRANE COUNTY","Male",581
"2016-2017",15,"CROCKETT COUNTY","Female",397
"2016-2017",15,"CROCKETT COUNTY","Male",394
"2016-2017",17,"CROSBY COUNTY","Female",627
"2016-2017",17,"CROSBY COUNTY","Male",588
"2016-2017",18,"CULBERSON COUNTY","Female",216
"2016-2017",18,"CULBERSON COUNTY","Male",209
"2016-2017",16,"DALLAM COUNTY","Female",964
"2016-2017",16,"DALLAM COUNTY","Male",985
"2016-2017",10,"DALLAS COUNTY","Female",249514
"2016-2017",10,"DALLAS COUNTY","Male",259957
"2016-2017",17,"DAWSON COUNTY","Female",1259
"2016-2017",17,"DAWSON COUNTY","Male",1419
"2016-2017",16,"DEAF SMITH COUNTY","Female",2168
"2016-2017",16,"DEAF SMITH COUNTY","Male",2130
"2016-2017",08,"DELTA COUNTY","Female",517
"2016-2017",08,"DELTA COUNTY","Male",490
"2016-2017",10,"DENTON COUNTY/10","Female",439
"2016-2017",10,"DENTON COUNTY/10","Male",437
"2016-2017",11,"DENTON COUNTY/11","Female",62147
"2016-2017",11,"DENTON COUNTY/11","Male",66128
"2016-2017","AL","DENTON COUNTY/ALL","Female",62586
"2016-2017","AL","DENTON COUNTY/ALL","Male",66565
"2016-2017",03,"DEWITT COUNTY","Female",2092
"2016-2017",03,"DEWITT COUNTY","Male",2414
"2016-2017",17,"DICKENS COUNTY","Female",194
"2016-2017",17,"DICKENS COUNTY","Male",189
"2016-2017",20,"DIMMIT COUNTY","Female",1114
"2016-2017",20,"DIMMIT COUNTY","Male",1099
"2016-2017",16,"DONLEY COUNTY","Female",300
"2016-2017",16,"DONLEY COUNTY","Male",297
"2016-2017",02,"DUVAL COUNTY","Female",1251
"2016-2017",02,"DUVAL COUNTY","Male",1327
"2016-2017",14,"EASTLAND COUNTY","Female",1407
"2016-2017",14,"EASTLAND COUNTY","Male",1452
"2016-2017",18,"ECTOR COUNTY","Female",16030
"2016-2017",18,"ECTOR COUNTY","Male",16792
"2016-2017",15,"EDWARDS COUNTY","Female",266
"2016-2017",15,"EDWARDS COUNTY","Male",304
"2016-2017",19,"EL PASO COUNTY","Female",87119
"2016-2017",19,"EL PASO COUNTY","Male",91286
"2016-2017",10,"ELLIS COUNTY","Female",18106
"2016-2017",10,"ELLIS COUNTY","Male",19013
"2016-2017",11,"ERATH COUNTY","Female",6875
"2016-2017",11,"ERATH COUNTY","Male",5982
"2016-2017",12,"FALLS COUNTY","Female",1042
"2016-2017",12,"FALLS COUNTY","Male",1142
"2016-2017",10,"FANNIN COUNTY","Female",2614
"2016-2017",10,"FANNIN COUNTY","Male",2745
"2016-2017",13,"FAYETTE COUNTY","Female",1927
"2016-2017",13,"FAYETTE COUNTY","Male",1933
"2016-2017",14,"FISHER COUNTY","Female",269
"2016-2017",14,"FISHER COUNTY","Male",271
"2016-2017",17,"FLOYD COUNTY","Female",598
"2016-2017",17,"FLOYD COUNTY","Male",671
"2016-2017",09,"FOARD COUNTY","Female",114
"2016-2017",09,"FOARD COUNTY","Male",113
"2016-2017",04,"FORT BEND COUNTY","Female",53999
"2016-2017",04,"FORT BEND COUNTY","Male",57696
"2016-2017",08,"FRANKLIN COUNTY","Female",794
"2016-2017",08,"FRANKLIN COUNTY","Male",824
"2016-2017",12,"FREESTONE COUNTY","Female",1821
"2016-2017",12,"FREESTONE COUNTY","Male",1979
"2016-2017",20,"FRIO COUNTY","Female",1557
"2016-2017",20,"FRIO COUNTY","Male",1683
"2016-2017",17,"GAINES COUNTY","Female",1744
"2016-2017",17,"GAINES COUNTY","Male",1785
"2016-2017",04,"GALVESTON COUNTY/04","Female",40272
"2016-2017",04,"GALVESTON COUNTY/04","Male",42406
"2016-2017",05,"GALVESTON COUNTY/05","Female",67
"2016-2017",05,"GALVESTON COUNTY/05","Male",83
"2016-2017","AL","GALVESTON COUNTY/ALL","Female",40339
"2016-2017","AL","GALVESTON COUNTY/ALL","Male",42489
"2016-2017",17,"GARZA COUNTY","Female",465
"2016-2017",17,"GARZA COUNTY","Male",568
"2016-2017",13,"GILLESPIE COUNTY","Female",1865
"2016-2017",13,"GILLESPIE COUNTY","Male",1972
"2016-2017",18,"GLASSCOCK COUNTY","Female",148
"2016-2017",18,"GLASSCOCK COUNTY","Male",160
"2016-2017",03,"GOLIAD COUNTY","Female",644
"2016-2017",03,"GOLIAD COUNTY","Male",693
"2016-2017",13,"GONZALES COUNTY","Female",2057
"2016-2017",13,"GONZALES COUNTY","Male",2214
"2016-2017",16,"GRAY COUNTY","Female",2008
"2016-2017",16,"GRAY COUNTY","Male",2087
"2016-2017",10,"GRAYSON COUNTY","Female",10865
"2016-2017",10,"GRAYSON COUNTY","Male",11712
"2016-2017",07,"GREGG COUNTY","Female",11749
"2016-2017",07,"GREGG COUNTY","Male",12562
"2016-2017",06,"GRIMES COUNTY","Female",2192
"2016-2017",06,"GRIMES COUNTY","Male",2333
"2016-2017",13,"GUADALUPE COUNTY/13","Female",4508
"2016-2017",13,"GUADALUPE COUNTY/13","Male",4729
"2016-2017",20,"GUADALUPE COUNTY/20","Female",8218
"2016-2017",20,"GUADALUPE COUNTY/20","Male",8722
"2016-2017","AL","GUADALUPE COUNTY/ALL","Female",12726
"2016-2017","AL","GUADALUPE COUNTY/ALL","Male",13451
"2016-2017",17,"HALE COUNTY","Female",3601
"2016-2017",17,"HALE COUNTY","Male",3770
"2016-2017",16,"HALL COUNTY","Female",339
"2016-2017",16,"HALL COUNTY","Male",387
"2016-2017",12,"HAMILTON COUNTY","Female",643
"2016-2017",12,"HAMILTON COUNTY","Male",756
"2016-2017",16,"HANSFORD COUNTY","Female",697
"2016-2017",16,"HANSFORD COUNTY","Male",722
"2016-2017",09,"HARDEMAN COUNTY","Female",364
"2016-2017",09,"HARDEMAN COUNTY","Male",403
"2016-2017",05,"HARDIN COUNTY","Female",5169
