"Year","Region","County Name","Grade Level Name","Gender Name","Gender Count"
"2015-2016",07,"ANDERSON COUNTY","Early Education","Female",7
"2015-2016",07,"ANDERSON COUNTY","Early Education","Male",13
"2015-2016",07,"ANDERSON COUNTY","Pre-kindergarten","Female",190
"2015-2016",07,"ANDERSON COUNTY","Pre-kindergarten","Male",203
"2015-2016",07,"ANDERSON COUNTY","Kindergarten","Female",302
"2015-2016",07,"ANDERSON COUNTY","Kindergarten","Male",307
"2015-2016",07,"ANDERSON COUNTY","Grade  1","Female",332
"2015-2016",07,"ANDERSON COUNTY","Grade  1","Male",353
"2015-2016",07,"ANDERSON COUNTY","Grade  2","Female",316
"2015-2016",07,"ANDERSON COUNTY","Grade  2","Male",331
"2015-2016",07,"ANDERSON COUNTY","Grade  3","Female",297
"2015-2016",07,"ANDERSON COUNTY","Grade  3","Male",335
"2015-2016",07,"ANDERSON COUNTY","Grade  4","Female",300
"2015-2016",07,"ANDERSON COUNTY","Grade  4","Male",310
"2015-2016",07,"ANDERSON COUNTY","Grade  5","Female",285
"2015-2016",07,"ANDERSON COUNTY","Grade  5","Male",332
"2015-2016",07,"ANDERSON COUNTY","Grade  6","Female",308
"2015-2016",07,"ANDERSON COUNTY","Grade  6","Male",328
"2015-2016",07,"ANDERSON COUNTY","Grade  7","Female",272
"2015-2016",07,"ANDERSON COUNTY","Grade  7","Male",341
"2015-2016",07,"ANDERSON COUNTY","Grade  8","Female",300
"2015-2016",07,"ANDERSON COUNTY","Grade  8","Male",320
"2015-2016",07,"ANDERSON COUNTY","Grade  9","Female",312
"2015-2016",07,"ANDERSON COUNTY","Grade  9","Male",357
"2015-2016",07,"ANDERSON COUNTY","Grade 10","Female",294
"2015-2016",07,"ANDERSON COUNTY","Grade 10","Male",317
"2015-2016",07,"ANDERSON COUNTY","Grade 11","Female",296
"2015-2016",07,"ANDERSON COUNTY","Grade 11","Male",292
"2015-2016",07,"ANDERSON COUNTY","Grade 12","Female",252
"2015-2016",07,"ANDERSON COUNTY","Grade 12","Male",247
"2015-2016",18,"ANDREWS COUNTY","Early Education","Female",-9999999
"2015-2016",18,"ANDREWS COUNTY","Early Education","Male",9
"2015-2016",18,"ANDREWS COUNTY","Pre-kindergarten","Female",69
"2015-2016",18,"ANDREWS COUNTY","Pre-kindergarten","Male",63
"2015-2016",18,"ANDREWS COUNTY","Kindergarten","Female",142
"2015-2016",18,"ANDREWS COUNTY","Kindergarten","Male",154
"2015-2016",18,"ANDREWS COUNTY","Grade  1","Female",150
"2015-2016",18,"ANDREWS COUNTY","Grade  1","Male",174
"2015-2016",18,"ANDREWS COUNTY","Grade  2","Female",148
"2015-2016",18,"ANDREWS COUNTY","Grade  2","Male",149
"2015-2016",18,"ANDREWS COUNTY","Grade  3","Female",160
"2015-2016",18,"ANDREWS COUNTY","Grade  3","Male",184
"2015-2016",18,"ANDREWS COUNTY","Grade  4","Female",130
"2015-2016",18,"ANDREWS COUNTY","Grade  4","Male",161
"2015-2016",18,"ANDREWS COUNTY","Grade  5","Female",148
"2015-2016",18,"ANDREWS COUNTY","Grade  5","Male",162
"2015-2016",18,"ANDREWS COUNTY","Grade  6","Female",159
"2015-2016",18,"ANDREWS COUNTY","Grade  6","Male",159
"2015-2016",18,"ANDREWS COUNTY","Grade  7","Female",156
"2015-2016",18,"ANDREWS COUNTY","Grade  7","Male",168
"2015-2016",18,"ANDREWS COUNTY","Grade  8","Female",127
"2015-2016",18,"ANDREWS COUNTY","Grade  8","Male",152
"2015-2016",18,"ANDREWS COUNTY","Grade  9","Female",155
"2015-2016",18,"ANDREWS COUNTY","Grade  9","Male",150
"2015-2016",18,"ANDREWS COUNTY","Grade 10","Female",124
"2015-2016",18,"ANDREWS COUNTY","Grade 10","Male",131
"2015-2016",18,"ANDREWS COUNTY","Grade 11","Female",137
"2015-2016",18,"ANDREWS COUNTY","Grade 11","Male",124
"2015-2016",18,"ANDREWS COUNTY","Grade 12","Female",111
"2015-2016",18,"ANDREWS COUNTY","Grade 12","Male",117
"2015-2016",07,"ANGELINA COUNTY","Early Education","Female",10
"2015-2016",07,"ANGELINA COUNTY","Early Education","Male",27
"2015-2016",07,"ANGELINA COUNTY","Pre-kindergarten","Female",536
"2015-2016",07,"ANGELINA COUNTY","Pre-kindergarten","Male",551
"2015-2016",07,"ANGELINA COUNTY","Kindergarten","Female",607
"2015-2016",07,"ANGELINA COUNTY","Kindergarten","Male",612
"2015-2016",07,"ANGELINA COUNTY","Grade  1","Female",635
"2015-2016",07,"ANGELINA COUNTY","Grade  1","Male",706
"2015-2016",07,"ANGELINA COUNTY","Grade  2","Female",653
"2015-2016",07,"ANGELINA COUNTY","Grade  2","Male",686
"2015-2016",07,"ANGELINA COUNTY","Grade  3","Female",644
"2015-2016",07,"ANGELINA COUNTY","Grade  3","Male",735
"2015-2016",07,"ANGELINA COUNTY","Grade  4","Female",642
"2015-2016",07,"ANGELINA COUNTY","Grade  4","Male",651
"2015-2016",07,"ANGELINA COUNTY","Grade  5","Female",609
"2015-2016",07,"ANGELINA COUNTY","Grade  5","Male",627
"2015-2016",07,"ANGELINA COUNTY","Grade  6","Female",646
"2015-2016",07,"ANGELINA COUNTY","Grade  6","Male",677
"2015-2016",07,"ANGELINA COUNTY","Grade  7","Female",591
"2015-2016",07,"ANGELINA COUNTY","Grade  7","Male",588
"2015-2016",07,"ANGELINA COUNTY","Grade  8","Female",611
"2015-2016",07,"ANGELINA COUNTY","Grade  8","Male",660
"2015-2016",07,"ANGELINA COUNTY","Grade  9","Female",631
"2015-2016",07,"ANGELINA COUNTY","Grade  9","Male",695
"2015-2016",07,"ANGELINA COUNTY","Grade 10","Female",644
"2015-2016",07,"ANGELINA COUNTY","Grade 10","Male",636
"2015-2016",07,"ANGELINA COUNTY","Grade 11","Female",633
"2015-2016",07,"ANGELINA COUNTY","Grade 11","Male",582
"2015-2016",07,"ANGELINA COUNTY","Grade 12","Female",524
"2015-2016",07,"ANGELINA COUNTY","Grade 12","Male",557
"2015-2016",02,"ARANSAS COUNTY","Early Education","Female",-9999999
