 
System ID, System Name, AUT,  BL,  D,  DB,  EBD,  HH,  MID,  MoID, OHI,  OI,  PID,  SDD,  SI,  SID,  SLD,  TBI,  VI 
"601","Appling County","28","*","*","*","42","*","23","15","48","*","*","89","80","*","153","*","*"
"602","Atkinson County","10","*","*","*","*","*","*","*","39","*","*","39","15","*","87","*","*"
"761","Atlanta Public Schools","715","*","20","*","353","*","422","125","1005","12","*","538","518","27","2309","19","10"
"603","Bacon County","23","*","*","*","*","*","*","*","59","*","*","46","58","*","117","*","*"
"604","Baker County","*","*","*","*","*","*","*","*","*","*","*","*","*","*","19","*","*"
"605","Baldwin County","57","*","*","*","67","*","42","29","120","*","*","123","94","*","102","*","*"
"606","Banks County","28","*","*","*","22","*","14","*","80","*","*","68","36","*","163","*","*"
"607","Barrow County","215","*","*","*","106","16","75","37","293","*","*","324","342","17","718","*","14"
"608","Bartow County","110","*","*","*","77","*","81","28","261","16","*","209","247","*","599","*","*"
"609","Ben Hill County","21","*","*","*","26","*","23","12","34","*","*","107","55","*","122","*","*"
"610","Berrien County","26","*","*","*","17","*","24","*","25","*","*","54","62","*","108","*","*"
"611","Bibb County","356","*","*","*","192","31","149","119","332","*","*","171","184","36","637","*","11"
"612","Bleckley County","34","*","*","*","*","*","36","10","70","*","*","50","57","*","107","*","*"
"613","Brantley County","49","*","*","*","18","*","24","10","55","*","*","54","53","*","154","*","*"
"763","Bremen City","11","*","*","*","*","*","*","*","39","*","*","38","46","*","79","*","*"
"614","Brooks County","29","*","*","*","*","*","27","*","35","*","*","27","35","*","58","*","*"
"615","Bryan County","153","*","*","*","70","*","26","19","228","*","*","74","131","*","357","*","*"
"764","Buford City","37","*","*","*","12","*","*","*","90","*","*","47","65","*","190","*","*"
"616","Bulloch County","114","*","*","*","77","*","90","26","325","*","*","225","214","*","511","*","*"
"617","Burke County","15","*","*","*","*","*","31","25","49","*","*","94","85","*","159","*","*"
"618","Butts County","37","*","*","*","22","*","22","*","84","*","*","48","96","*","109","*","*"
"765","Calhoun City","59","*","*","*","22","*","19","*","61","*","*","58","37","*","132","*","*"
"619","Calhoun County","*","*","*","*","*","*","*","*","*","*","*","22","*","*","11","*","*"
"620","Camden County","146","*","*","*","39","*","30","25","229","*","*","158","298","*","495","*","*"
"621","Candler County","16","*","*","*","*","*","*","*","46","*","*","68","66","*","103","*","*"
"622","Carroll County","146","*","*","*","72","13","86","23","339","*","*","277","280","*","770","*","*"
"766","Carrollton City","46","*","*","*","16","*","24","14","93","*","*","83","65","*","279","*","*"
"767","Cartersville City","58","*","*","*","29","*","10","10","86","*","*","66","99","*","139","*","*"
"623","Catoosa County","241","*","*","*","60","*","56","39","344","*","*","222","126","*","666","*","10"
"624","Charlton County","13","*","*","*","*","*","10","*","34","*","*","25","37","*","110","*","*"
"626","Chattahoochee County","*","*","*","*","11","*","12","*","21","*","*","*","24","*","55","*","*"
"627","Chattooga County","45","*","*","*","17","*","42","*","83","*","*","56","69","*","189","*","*"
