"Year","Region","County Name","Grade Level Name","Gender Name","Gender Count"
"2016-2017",07,"ANDERSON COUNTY","Early Education","Female",7
"2016-2017",07,"ANDERSON COUNTY","Early Education","Male",17
"2016-2017",07,"ANDERSON COUNTY","Pre-kindergarten","Female",193
"2016-2017",07,"ANDERSON COUNTY","Pre-kindergarten","Male",184
"2016-2017",07,"ANDERSON COUNTY","Kindergarten","Female",299
"2016-2017",07,"ANDERSON COUNTY","Kindergarten","Male",364
"2016-2017",07,"ANDERSON COUNTY","Grade  1","Female",317
"2016-2017",07,"ANDERSON COUNTY","Grade  1","Male",298
"2016-2017",07,"ANDERSON COUNTY","Grade  2","Female",329
"2016-2017",07,"ANDERSON COUNTY","Grade  2","Male",343
"2016-2017",07,"ANDERSON COUNTY","Grade  3","Female",301
"2016-2017",07,"ANDERSON COUNTY","Grade  3","Male",312
"2016-2017",07,"ANDERSON COUNTY","Grade  4","Female",289
"2016-2017",07,"ANDERSON COUNTY","Grade  4","Male",336
"2016-2017",07,"ANDERSON COUNTY","Grade  5","Female",301
"2016-2017",07,"ANDERSON COUNTY","Grade  5","Male",317
"2016-2017",07,"ANDERSON COUNTY","Grade  6","Female",292
"2016-2017",07,"ANDERSON COUNTY","Grade  6","Male",331
"2016-2017",07,"ANDERSON COUNTY","Grade  7","Female",316
"2016-2017",07,"ANDERSON COUNTY","Grade  7","Male",324
"2016-2017",07,"ANDERSON COUNTY","Grade  8","Female",270
"2016-2017",07,"ANDERSON COUNTY","Grade  8","Male",353
"2016-2017",07,"ANDERSON COUNTY","Grade  9","Female",312
"2016-2017",07,"ANDERSON COUNTY","Grade  9","Male",367
"2016-2017",07,"ANDERSON COUNTY","Grade 10","Female",308
"2016-2017",07,"ANDERSON COUNTY","Grade 10","Male",316
"2016-2017",07,"ANDERSON COUNTY","Grade 11","Female",295
"2016-2017",07,"ANDERSON COUNTY","Grade 11","Male",304
"2016-2017",07,"ANDERSON COUNTY","Grade 12","Female",275
"2016-2017",07,"ANDERSON COUNTY","Grade 12","Male",269
"2016-2017",18,"ANDREWS COUNTY","Early Education","Female",5
"2016-2017",18,"ANDREWS COUNTY","Early Education","Male",15
"2016-2017",18,"ANDREWS COUNTY","Pre-kindergarten","Female",65
"2016-2017",18,"ANDREWS COUNTY","Pre-kindergarten","Male",68
"2016-2017",18,"ANDREWS COUNTY","Kindergarten","Female",159
"2016-2017",18,"ANDREWS COUNTY","Kindergarten","Male",149
"2016-2017",18,"ANDREWS COUNTY","Grade  1","Female",145
"2016-2017",18,"ANDREWS COUNTY","Grade  1","Male",147
"2016-2017",18,"ANDREWS COUNTY","Grade  2","Female",147
"2016-2017",18,"ANDREWS COUNTY","Grade  2","Male",170
"2016-2017",18,"ANDREWS COUNTY","Grade  3","Female",144
"2016-2017",18,"ANDREWS COUNTY","Grade  3","Male",148
"2016-2017",18,"ANDREWS COUNTY","Grade  4","Female",165
