"Year","Region","County Name","District Name","District Number","Charter Status","Gender Name","Enrollment by Gender"
"2015-2016",10,"DALLAS COUNTY","A W BROWN-FELLOWSHIP LEADERSHIP AC",057816,"OPEN ENROLLMENT CHARTER","Female",1180
"2015-2016",10,"DALLAS COUNTY","A W BROWN-FELLOWSHIP LEADERSHIP AC",057816,"OPEN ENROLLMENT CHARTER","Male",981
"2015-2016",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Female",489
"2015-2016",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Male",451
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Female",135
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Male",135
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Female",376
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Male",404
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Female",8261
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Male",8717
"2015-2016",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Female",90
"2015-2016",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Male",396
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Female",659
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Male",752
"2015-2016",04,"HARRIS COUNTY","ACADEMY OF ACCELERATED LEARNING IN",101810,"OPEN ENROLLMENT CHARTER","Female",395
"2015-2016",04,"HARRIS COUNTY","ACADEMY OF ACCELERATED LEARNING IN",101810,"OPEN ENROLLMENT CHARTER","Male",378
"2015-2016",20,"BEXAR COUNTY","ACADEMY OF CAREERS AND TECHNOLOGIE",015816,"OPEN ENROLLMENT CHARTER","Female",106
"2015-2016",20,"BEXAR COUNTY","ACADEMY OF CAREERS AND TECHNOLOGIE",015816,"OPEN ENROLLMENT CHARTER","Male",87
