 
System ID, System Name, AUT,  BL,  D,  DB,  EBD,  HH,  MID,  MoID, OHI,  OI,  PID,  SDD,  SI,  SID,  SLD,  TBI,  VI 
"601","Appling County","20","*","*","*","41","*","15","14","52","*","*","98","123","*","137","*","*"
"602","Atkinson County","*","*","*","*","*","*","10","*","33","*","*","21","10","*","111","*","*"
"761","Atlanta Public Schools","491","*","21","*","395","*","338","119","835","12","*","514","504","33","2048","13","*"
"603","Bacon County","12","*","*","*","11","*","21","10","70","*","*","55","58","*","99","*","*"
"604","Baker County","*","*","*","*","*","*","*","*","*","*","*","*","*","*","10","*","*"
"605","Baldwin County","53","*","*","*","49","*","49","25","119","*","*","70","96","10","82","*","*"
"606","Banks County","25","*","*","*","30","*","24","10","60","*","*","69","44","*","161","*","*"
"607","Barrow County","175","*","*","*","107","*","135","28","266","*","*","216","293","17","584","*","*"
"608","Bartow County","95","*","*","*","92","13","80","28","242","16","*","201","248","10","573","*","10"
"609","Ben Hill County","16","*","*","*","46","*","32","14","30","*","*","92","53","*","164","*","*"
"610","Berrien County","23","*","*","*","25","*","18","10","29","*","*","45","139","*","119","*","*"
"611","Bibb County","269","*","15","*","261","15","161","122","274","*","*","253","305","40","607","*","10"
"612","Bleckley County","27","*","*","*","26","*","27","*","50","*","*","57","75","*","102","*","*"
"613","Brantley County","36","*","*","*","17","*","26","14","61","*","*","25","58","*","153","*","*"
"763","Bremen City","12","*","*","*","*","*","*","*","39","*","*","43","29","*","70","*","*"
"614","Brooks County","20","*","*","*","*","*","41","*","42","*","*","35","42","*","58","*","*"
"615","Bryan County","138","*","*","*","71","*","22","24","181","*","*","76","113","*","268","*","*"
"764","Buford City","23","*","*","*","20","*","13","*","77","*","*","45","98","*","169","*","*"
"616","Bulloch County","84","*","*","*","68","*","86","25","265","*","*","213","250","*","497","*","*"
"617","Burke County","15","*","*","*","17","*","26","22","55","*","*","111","80","*","124","*","*"
"618","Butts County","35","*","*","*","33","*","15","*","66","*","*","50","70","*","110","*","*"
"765","Calhoun City","43","*","*","*","22","*","15","*","64","*","*","51","42","*","90","*","*"
"619","Calhoun County","*","*","*","*","*","*","10","*","*","*","*","15","18","*","13","*","*"
"620","Camden County","92","*","*","*","53","*","40","27","171","*","*","145","266","*","371","*","*"
"621","Candler County","14","*","*","*","11","*","12","*","37","*","*","58","57","*","83","*","*"
"622","Carroll County","147","*","*","*","77","15","90","43","330","*","*","266","295","*","785","*","*"
"766","Carrollton City","25","*","*","*","31","*","19","13","69","*","*","76","46","*","243","*","*"
"767","Cartersville City","38","*","*","*","32","*","13","*","63","*","*","50","72","*","128","*","*"
"623","Catoosa County","188","*","*","*","81","*","54","43","305","*","*","224","97","*","869","*","*"
"624","Charlton County","13","*","*","*","*","*","15","*","12","*","*","20","27","*","66","*","*"
"626","Chattahoochee County","*","*","*","*","*","*","11","*","33","*","*","13","26","*","41","*","*"
"627","Chattooga County","24","*","*","*","25","*","40","*","66","*","*","86","61","*","174","*","*"
"628","Cherokee County","501","*","11","*","206","28","120","73","714","18","13","627","695","26","1893","*","*"
"769","Chickamauga City","*","*","*","*","*","*","*","*","23","*","*","*","12","*","24","*","*"
"773","City Schools of Decatur","69","*","*","*","18","*","*","*","84","*","*","43","35","*","147","*","*"
"629","Clarke County","177","*","*","*","131","10","137","45","202","*","*","288","170","13","570","*","*"
"630","Clay County","*","*","*","*","*","*","*","*","*","*","*","*","12","*","*","*","*"
"631","Clayton County","518","*","11","*","378","35","324","176","651","15","14","699","413","58","2469","12","17"
"632","Clinch County","12","*","*","*","*","*","*","*","42","*","*","15","13","*","59","*","*"
"633","Cobb County","1526","*","28","*","659","134","417","217","2334","114","35","1611","1714","74","5810","29","34"
"634","Coffee County","39","*","*","*","18","*","101","34","69","*","*","78","213","*","150","*","*"
"635","Colquitt County","40","*","*","*","35","*","90","61","53","*","*","146","94","12","574","*","*"
"636","Columbia County","330","*","*","*","91","17","69","61","395","*","*","365","367","19","473","*","14"
"771","Commerce City","14","*","*","*","13","*","10","*","28","*","*","18","27","*","81","*","*"
"637","Cook County","21","*","*","*","20","*","38","10","50","*","*","49","104","*","99","*","*"
"638","Coweta County","172","*","*","*","137","21","92","49","511","25","*","306","374","11","587","*","15"
"639","Crawford County","46","*","*","*","42","*","24","*","12","*","*","15","30","*","93","*","*"
"640","Crisp County","23","*","*","*","23","*","33","18","44","*","*","84","174","*","144","*","*"
"641","Dade County","22","*","*","*","13","*","19","*","69","*","*","79","56","*","134","*","*"
"772","Dalton Public Schools","65","*","*","*","13","*","19","34","72","*","*","103","88","*","298","*","*"
"642","Dawson County","34","*","*","*","37","*","20","*","67","*","*","53","73","*","212","*","*"
"644","DeKalb County","1368","15","24","*","585","43","655","263","1246","26","70","1103","830","87","3712","24","20"
"643","Decatur County","30","*","*","*","40","*","90","44","67","*","*","49","94","*","122","*","*"
"890","Department of Corrections","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"892","Department of Human Resources","28","*","*","*","*","*","28","*","27","*","*","*","*","*","15","*","*"
"891","Department of Juvenile Justice","*","*","*","*","109","*","15","*","55","*","*","*","*","*","74","*","*"
"645","Dodge County","18","*","*","*","30","*","31","23","76","*","*","39","53","*","156","*","*"
"646","Dooly County","*","*","*","*","*","*","19","*","18","*","*","17","40","*","15","*","*"
"647","Dougherty County","70","*","*","*","64","*","199","120","112","*","12","232","246","21","359","*","*"
"648","Douglas County","178","*","*","*","172","21","132","59","501","26","*","504","475","11","1226","*","10"
"774","Dublin City","26","*","*","*","23","*","26","*","48","*","*","48","20","*","66","*","*"
"649","Early County","*","*","*","*","19","*","62","16","22","*","*","44","56","*","65","*","*"
"650","Echols County","*","*","*","*","*","*","*","*","*","*","*","*","*","*","31","*","*"
"651","Effingham County","131","*","*","*","73","*","58","31","437","*","*","353","470","*","413","*","*"
"652","Elbert County","16","*","*","*","10","*","15","16","72","*","*","65","62","*","69","*","*"
"653","Emanuel County","32","*","*","*","33","*","52","13","154","*","*","104","73","*","100","*","*"
"654","Evans County","15","*","*","*","15","*","11","*","23","*","*","34","22","*","70","*","*"
"655","Fannin County","37","*","*","*","20","*","21","13","54","*","*","43","45","*","125","*","*"
"656","Fayette County","214","*","*","*","84","29","57","33","368","*","*","119","317","11","736","*","11"
"657","Floyd County","153","*","*","*","84","*","56","33","275","*","*","142","351","*","347","*","*"
"658","Forsyth County","612","*","14","*","130","42","118","70","914","21","*","569","1626","29","1525","*","11"
"659","Franklin County","36","*","*","*","26","*","34","14","53","*","*","89","75","*","154","*","*"
"660","Fulton County","1080","*","*","*","537","86","366","237","1413","52","*","1057","1200","54","3663","15","13"
"776","Gainesville City","43","*","*","*","31","*","32","*","65","*","*","147","129","*","256","*","*"
"661","Gilmer County","23","*","*","*","23","*","21","10","53","*","*","42","37","*","134","*","*"
"662","Glascock County","*","*","*","*","*","*","*","*","10","*","*","*","13","*","13","*","*"
"663","Glynn County","187","*","11","*","132","17","65","58","230","*","*","194","171","*","697","*","*"
"664","Gordon County","38","*","*","*","37","*","27","24","125","*","*","127","38","*","310","*","*"
"665","Grady County","59","*","*","*","44","*","34","19","50","*","*","34","86","*","130","*","*"
