T E X A S  E D U C A T I O N  A G E N C Y

PEIMS Student Enrollment Data for 2019-2020

"YEAR","REGION","COUNTY NAME","GENDER","GRADE","ENROLLMENT"
"2019-2020",07,"ANDERSON COUNTY","Female","Early Education",4
"2019-2020",07,"ANDERSON COUNTY","Male","Early Education",8
"2019-2020",07,"ANDERSON COUNTY","Female","Pre-kindergarten",233
"2019-2020",07,"ANDERSON COUNTY","Male","Pre-kindergarten",256
"2019-2020",07,"ANDERSON COUNTY","Female","Kindergarten",248
"2019-2020",07,"ANDERSON COUNTY","Male","Kindergarten",335
"2019-2020",07,"ANDERSON COUNTY","Female","Grade 1",297
"2019-2020",07,"ANDERSON COUNTY","Male","Grade 1",306
"2019-2020",07,"ANDERSON COUNTY","Female","Grade 2",256
"2019-2020",07,"ANDERSON COUNTY","Male","Grade 2",283
"2019-2020",07,"ANDERSON COUNTY","Female","Grade 3",273
"2019-2020",07,"ANDERSON COUNTY","Male","Grade 3",317
"2019-2020",07,"ANDERSON COUNTY","Female","Grade 4",285
"2019-2020",07,"ANDERSON COUNTY","Male","Grade 4",281
"2019-2020",07,"ANDERSON COUNTY","Female","Grade 5",314
"2019-2020",07,"ANDERSON COUNTY","Male","Grade 5",342
"2019-2020",07,"ANDERSON COUNTY","Female","Grade 6",297
"2019-2020",07,"ANDERSON COUNTY","Male","Grade 6",292
"2019-2020",07,"ANDERSON COUNTY","Female","Grade 7",276
"2019-2020",07,"ANDERSON COUNTY","Male","Grade 7",318
"2019-2020",07,"ANDERSON COUNTY","Female","Grade 8",300
"2019-2020",07,"ANDERSON COUNTY","Male","Grade 8",316
"2019-2020",07,"ANDERSON COUNTY","Female","Grade 9",318
"2019-2020",07,"ANDERSON COUNTY","Male","Grade 9",363
"2019-2020",07,"ANDERSON COUNTY","Female","Grade 10",312
"2019-2020",07,"ANDERSON COUNTY","Male","Grade 10",337
"2019-2020",07,"ANDERSON COUNTY","Female","Grade 11",247
"2019-2020",07,"ANDERSON COUNTY","Male","Grade 11",304
"2019-2020",07,"ANDERSON COUNTY","Female","Grade 12",273
"2019-2020",07,"ANDERSON COUNTY","Male","Grade 12",284
"2019-2020",18,"ANDREWS COUNTY","Female","Early Education",3
"2019-2020",18,"ANDREWS COUNTY","Male","Early Education",12
"2019-2020",18,"ANDREWS COUNTY","Female","Pre-kindergarten",72
"2019-2020",18,"ANDREWS COUNTY","Male","Pre-kindergarten",61
"2019-2020",18,"ANDREWS COUNTY","Female","Kindergarten",154
"2019-2020",18,"ANDREWS COUNTY","Male","Kindergarten",161
"2019-2020",18,"ANDREWS COUNTY","Female","Grade 1",190
"2019-2020",18,"ANDREWS COUNTY","Male","Grade 1",183
"2019-2020",18,"ANDREWS COUNTY","Female","Grade 2",164
"2019-2020",18,"ANDREWS COUNTY","Male","Grade 2",181
"2019-2020",18,"ANDREWS COUNTY","Female","Grade 3",164
"2019-2020",18,"ANDREWS COUNTY","Male","Grade 3",154
