T E X A S  E D U C A T I O N  A G E N C Y

PEIMS Student Enrollment Data for 2018-2019

"YEAR","REGION","COUNTY NAME","DISTRICT","DISTRICT NAME","GENDER","CHARTER STATUS","ENROLLMENT"
"2018-2019",07,"ANDERSON COUNTY",001902,"CAYUGA ISD","FEMALE","TRADITIONAL ISD/CSD",250
"2018-2019",07,"ANDERSON COUNTY",001902,"CAYUGA ISD","MALE","TRADITIONAL ISD/CSD",314
"2018-2019",07,"ANDERSON COUNTY",001903,"ELKHART ISD","FEMALE","TRADITIONAL ISD/CSD",588
"2018-2019",07,"ANDERSON COUNTY",001903,"ELKHART ISD","MALE","TRADITIONAL ISD/CSD",667
"2018-2019",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD","FEMALE","TRADITIONAL ISD/CSD",374
"2018-2019",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD","MALE","TRADITIONAL ISD/CSD",430
"2018-2019",07,"ANDERSON COUNTY",001906,"NECHES ISD","FEMALE","TRADITIONAL ISD/CSD",192
"2018-2019",07,"ANDERSON COUNTY",001906,"NECHES ISD","MALE","TRADITIONAL ISD/CSD",174
"2018-2019",07,"ANDERSON COUNTY",001907,"PALESTINE ISD","FEMALE","TRADITIONAL ISD/CSD",1575
"2018-2019",07,"ANDERSON COUNTY",001907,"PALESTINE ISD","MALE","TRADITIONAL ISD/CSD",1818
"2018-2019",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD","FEMALE","TRADITIONAL ISD/CSD",753
"2018-2019",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD","MALE","TRADITIONAL ISD/CSD",765
"2018-2019",07,"ANDERSON COUNTY",001909,"SLOCUM ISD","FEMALE","TRADITIONAL ISD/CSD",209
"2018-2019",07,"ANDERSON COUNTY",001909,"SLOCUM ISD","MALE","TRADITIONAL ISD/CSD",197
"2018-2019",18,"ANDREWS COUNTY",002901,"ANDREWS ISD","FEMALE","TRADITIONAL ISD/CSD",2090
"2018-2019",18,"ANDREWS COUNTY",002901,"ANDREWS ISD","MALE","TRADITIONAL ISD/CSD",2229
"2018-2019",07,"ANGELINA COUNTY",003801,"PINEYWOODS COMMUNITY ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER",531
"2018-2019",07,"ANGELINA COUNTY",003801,"PINEYWOODS COMMUNITY ACADEMY","MALE","OPEN ENROLLMENT CHARTER",491
"2018-2019",07,"ANGELINA COUNTY",003902,"HUDSON ISD","FEMALE","TRADITIONAL ISD/CSD",1499
"2018-2019",07,"ANGELINA COUNTY",003902,"HUDSON ISD","MALE","TRADITIONAL ISD/CSD",1460
"2018-2019",07,"ANGELINA COUNTY",003903,"LUFKIN ISD","FEMALE","TRADITIONAL ISD/CSD",3808
"2018-2019",07,"ANGELINA COUNTY",003903,"LUFKIN ISD","MALE","TRADITIONAL ISD/CSD",4053
"2018-2019",07,"ANGELINA COUNTY",003904,"HUNTINGTON ISD","FEMALE","TRADITIONAL ISD/CSD",790
"2018-2019",07,"ANGELINA COUNTY",003904,"HUNTINGTON ISD","MALE","TRADITIONAL ISD/CSD",870
"2018-2019",07,"ANGELINA COUNTY",003905,"DIBOLL ISD","FEMALE","TRADITIONAL ISD/CSD",925
"2018-2019",07,"ANGELINA COUNTY",003905,"DIBOLL ISD","MALE","TRADITIONAL ISD/CSD",955
"2018-2019",07,"ANGELINA COUNTY",003906,"ZAVALLA ISD","FEMALE","TRADITIONAL ISD/CSD",165
"2018-2019",07,"ANGELINA COUNTY",003906,"ZAVALLA ISD","MALE","TRADITIONAL ISD/CSD",195
"2018-2019",07,"ANGELINA COUNTY",003907,"CENTRAL ISD","FEMALE","TRADITIONAL ISD/CSD",707
"2018-2019",07,"ANGELINA COUNTY",003907,"CENTRAL ISD","MALE","TRADITIONAL ISD/CSD",758
"2018-2019",02,"ARANSAS COUNTY",004901,"ARANSAS COUNTY ISD","FEMALE","TRADITIONAL ISD/CSD",1375
"2018-2019",02,"ARANSAS COUNTY",004901,"ARANSAS COUNTY ISD","MALE","TRADITIONAL ISD/CSD",1454
"2018-2019",09,"ARCHER COUNTY",005901,"ARCHER CITY ISD","FEMALE","TRADITIONAL ISD/CSD",246
"2018-2019",09,"ARCHER COUNTY",005901,"ARCHER CITY ISD","MALE","TRADITIONAL ISD/CSD",259
"2018-2019",09,"ARCHER COUNTY",005902,"HOLLIDAY ISD","FEMALE","TRADITIONAL ISD/CSD",504
"2018-2019",09,"ARCHER COUNTY",005902,"HOLLIDAY ISD","MALE","TRADITIONAL ISD/CSD",544
"2018-2019",09,"ARCHER COUNTY",005904,"WINDTHORST ISD","FEMALE","TRADITIONAL ISD/CSD",201
"2018-2019",09,"ARCHER COUNTY",005904,"WINDTHORST ISD","MALE","TRADITIONAL ISD/CSD",202
"2018-2019",16,"ARMSTRONG COUNTY",006902,"CLAUDE ISD","FEMALE","TRADITIONAL ISD/CSD",173
"2018-2019",16,"ARMSTRONG COUNTY",006902,"CLAUDE ISD","MALE","TRADITIONAL ISD/CSD",186
"2018-2019",20,"ATASCOSA COUNTY",007901,"CHARLOTTE ISD","FEMALE","TRADITIONAL ISD/CSD",226
"2018-2019",20,"ATASCOSA COUNTY",007901,"CHARLOTTE ISD","MALE","TRADITIONAL ISD/CSD",245
"2018-2019",20,"ATASCOSA COUNTY",007902,"JOURDANTON ISD","FEMALE","TRADITIONAL ISD/CSD",759
"2018-2019",20,"ATASCOSA COUNTY",007902,"JOURDANTON ISD","MALE","TRADITIONAL ISD/CSD",848
"2018-2019",20,"ATASCOSA COUNTY",007904,"LYTLE ISD","FEMALE","TRADITIONAL ISD/CSD",828
"2018-2019",20,"ATASCOSA COUNTY",007904,"LYTLE ISD","MALE","TRADITIONAL ISD/CSD",898
"2018-2019",20,"ATASCOSA COUNTY",007905,"PLEASANTON ISD","FEMALE","TRADITIONAL ISD/CSD",1744
"2018-2019",20,"ATASCOSA COUNTY",007905,"PLEASANTON ISD","MALE","TRADITIONAL ISD/CSD",1820
"2018-2019",20,"ATASCOSA COUNTY",007906,"POTEET ISD","FEMALE","TRADITIONAL ISD/CSD",845
"2018-2019",20,"ATASCOSA COUNTY",007906,"POTEET ISD","MALE","TRADITIONAL ISD/CSD",858
"2018-2019",06,"AUSTIN COUNTY",008901,"BELLVILLE ISD","FEMALE","TRADITIONAL ISD/CSD",1115
"2018-2019",06,"AUSTIN COUNTY",008901,"BELLVILLE ISD","MALE","TRADITIONAL ISD/CSD",1123
"2018-2019",06,"AUSTIN COUNTY",008902,"SEALY ISD","FEMALE","TRADITIONAL ISD/CSD",1310
"2018-2019",06,"AUSTIN COUNTY",008902,"SEALY ISD","MALE","TRADITIONAL ISD/CSD",1493
"2018-2019",06,"AUSTIN COUNTY",008903,"BRAZOS ISD","FEMALE","TRADITIONAL ISD/CSD",453
"2018-2019",06,"AUSTIN COUNTY",008903,"BRAZOS ISD","MALE","TRADITIONAL ISD/CSD",374
"2018-2019",17,"BAILEY COUNTY",009901,"MULESHOE ISD","FEMALE","TRADITIONAL ISD/CSD",679
"2018-2019",17,"BAILEY COUNTY",009901,"MULESHOE ISD","MALE","TRADITIONAL ISD/CSD",738
"2018-2019",20,"BANDERA COUNTY",010901,"MEDINA ISD","FEMALE","TRADITIONAL ISD/CSD",158
"2018-2019",20,"BANDERA COUNTY",010901,"MEDINA ISD","MALE","TRADITIONAL ISD/CSD",148
"2018-2019",20,"BANDERA COUNTY",010902,"BANDERA ISD","FEMALE","TRADITIONAL ISD/CSD",1068
"2018-2019",20,"BANDERA COUNTY",010902,"BANDERA ISD","MALE","TRADITIONAL ISD/CSD",1166
"2018-2019",13,"BASTROP COUNTY",011901,"BASTROP ISD","FEMALE","TRADITIONAL ISD/CSD",5314
"2018-2019",13,"BASTROP COUNTY",011901,"BASTROP ISD","MALE","TRADITIONAL ISD/CSD",5767
"2018-2019",13,"BASTROP COUNTY",011902,"ELGIN ISD","FEMALE","TRADITIONAL ISD/CSD",2220
"2018-2019",13,"BASTROP COUNTY",011902,"ELGIN ISD","MALE","TRADITIONAL ISD/CSD",2237
"2018-2019",13,"BASTROP COUNTY",011904,"SMITHVILLE ISD","FEMALE","TRADITIONAL ISD/CSD",875
"2018-2019",13,"BASTROP COUNTY",011904,"SMITHVILLE ISD","MALE","TRADITIONAL ISD/CSD",927
"2018-2019",13,"BASTROP COUNTY",011905,"MCDADE ISD","FEMALE","TRADITIONAL ISD/CSD",187
"2018-2019",13,"BASTROP COUNTY",011905,"MCDADE ISD","MALE","TRADITIONAL ISD/CSD",195
"2018-2019",09,"BAYLOR COUNTY",012901,"SEYMOUR ISD","FEMALE","TRADITIONAL ISD/CSD",263
"2018-2019",09,"BAYLOR COUNTY",012901,"SEYMOUR ISD","MALE","TRADITIONAL ISD/CSD",319
"2018-2019",02,"BEE COUNTY",013801,"ST MARY'S ACADEMY CHARTER SCHOOL","FEMALE","OPEN ENROLLMENT CHARTER",229
"2018-2019",02,"BEE COUNTY",013801,"ST MARY'S ACADEMY CHARTER SCHOOL","MALE","OPEN ENROLLMENT CHARTER",201
